timestamp,event_type,severity,user,source_ip,source_host,target_host,asset,process,action,message
2026-05-14T12:28:44Z,vpn.auth.failure,medium,svc-build,185.220.101.44,,vpn-gw-01,vpn-gw-01,,login_failed,"VPN login failed: invalid password"
2026-05-14T12:29:02Z,vpn.auth.failure,medium,svc-build,185.220.101.44,,vpn-gw-01,vpn-gw-01,,login_failed,"VPN login failed: invalid password"
2026-05-14T12:29:18Z,vpn.auth.failure,medium,svc-build,185.220.101.44,,vpn-gw-01,vpn-gw-01,,login_failed,"VPN login failed: invalid password"
2026-05-14T12:30:55Z,vpn.auth.success,high,svc-build,185.220.101.44,,vpn-gw-01,vpn-gw-01,,login_success,"VPN login successful after repeated failures"
2026-05-14T12:31:12Z,ad.auth.success,high,svc-build,10.14.8.22,BUILD-07,DC-02,DC-02,,domain_login,"Domain authentication succeeded from unusual workstation"
2026-05-14T12:33:31Z,ad.group.enumeration,medium,svc-build,10.14.8.22,BUILD-07,DC-02,DC-02,,group_query,"Account queried Domain Admins membership"
2026-05-14T12:35:48Z,ad.privilege_change,critical,svc-build,10.14.8.22,BUILD-07,DC-02,DC-02,,add_member,"svc-build added itself to Backup Operators"
2026-05-14T12:36:02Z,ad.policy.change,high,svc-build,10.14.8.22,BUILD-07,DC-02,DC-02,,disable_audit,"Audit policy modified: process creation logging disabled"
2026-05-14T12:38:21Z,endpoint.process.start,high,svc-build,,BUILD-07,BUILD-07,BUILD-07,powershell.exe,execute,"Encoded PowerShell launched"
2026-05-14T12:38:44Z,endpoint.network.connect,high,svc-build,,BUILD-07,45.83.66.12,BUILD-07,powershell.exe,connect,"PowerShell connected to external IP 45.83.66.12:443"
2026-05-14T12:39:03Z,endpoint.file.write,high,svc-build,,BUILD-07,BUILD-07,BUILD-07,powershell.exe,write_file,"PowerShell script written to C:\ProgramData\win_update.ps1"
2026-05-14T12:42:27Z,smb.auth.success,high,svc-build,,BUILD-07,FS-01,FS-01,,smb_login,"SMB session established to restricted finance share"
2026-05-14T12:43:11Z,file.access.success,high,svc-build,,BUILD-07,FS-01,FS-01,,read_file,"Sensitive finance CSV vendor_payments.csv read"
2026-05-14T12:43:28Z,file.access.success,high,svc-build,,BUILD-07,FS-01,FS-01,,read_file,"Sensitive bank account CSV bank_accounts.csv read"
2026-05-14T12:44:01Z,file.archive.create,critical,svc-build,,BUILD-07,FS-01,FS-01,7z.exe,archive,"Archive created from finance audit folder"
2026-05-14T12:45:22Z,database.login.success,high,svc-build,,BUILD-07,DB-03,DB-03,,db_login,"Database login succeeded from unusual workstation"
2026-05-14T12:46:04Z,database.query,critical,svc-build,,BUILD-07,DB-03,DB-03,,select,"SELECT customer_id, routing_number, account_number FROM vendor_bank_accounts"
2026-05-14T12:46:51Z,database.export,critical,svc-build,,BUILD-07,DB-03,DB-03,,export,"Query results exported to vendor_bank_accounts.csv"
2026-05-14T12:48:19Z,endpoint.process.start,critical,svc-build,,BUILD-07,BUILD-07,BUILD-07,rclone.exe,execute,"Rclone launched to copy staged data to cloud storage"
2026-05-14T12:49:12Z,proxy.upload,critical,svc-build,,BUILD-07,files.example-storage.net,BUILD-07,rclone.exe,upload,"Unusual upload volume to cloud storage"
2026-05-14T12:50:03Z,dlp.alert,critical,svc-build,,BUILD-07,files.example-storage.net,BUILD-07,,alert,"Possible bank account numbers observed in outbound TLS session metadata"
2026-05-14T12:51:40Z,edr.alert,high,svc-build,,BUILD-07,BUILD-07,BUILD-07,powershell.exe,alert,"Suspicious encoded PowerShell and rclone activity detected"
2026-05-14T12:53:44Z,soc.action,medium,svc-build,,SOC,svc-build,svc-build,,disable_account,"Account disabled pending owner validation"
2026-05-14T12:54:08Z,soc.action,medium,svc-build,,SOC,BUILD-07,BUILD-07,,isolate_host,"Endpoint isolated from network via EDR"
2026-05-14T13:05:41Z,secrets.rotation,medium,svc-build,,vault,svc-build,svc-build,,rotate_secret,"CI service account secret rotated"
